Number,Name,Pokedex
001,Bulbasaur,"A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon. It can go for days without a single morsel. In the bulb on its back, it stores energy."
002,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs. The bulb on its back growsby drawing energy. It gives off an aroma when it's ready to bloom."
003,Venusaur,The plant blooms when it's absorbing solar energy. It stays on the move to seek sunlight. The flower on its back catches the suns rays. The sunlight is then absorbed and used for energy
004,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the top of its tail. The flame at the tip of its tail makes a sound as it burns. You cna only hear it in quiet places."
005,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearbly high levels. Tough fights could excite this Pokemon. When excited, it may blow out bluish-white flames."
006,Charizard,"Spits fire that is hot enought o melt boulders. Known to cause forest fires unintentionally. When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
007,Squirtle,"After birth, its backswells ahnd hardens into a shell. Powerfully sprays foam from its mouth. Shoots water at prey while in the water. Withdraws into its shell when in danger."
008,Wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance. When trapped, this Pokemon will pull in its head, but its tail will still stick out a little bit."
009,Blastoise,"A brutal Pokemon with pressurized water jets. They are used for high speed tackles. Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
010,Caterpie,"Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls. If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
011,Metapod,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body. Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
012,Butterfree,"In battle, it flaps its wings at high speeds to release highly toxic dust into the air. Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."
013,Weedle,"Often found in forests, eating leaves. It has a sharp, venomous stinger on its head. Beware of its sharp stinger on its head. It hides in grass and bushes where it eats leaves."
014,Kakuna,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators. Able to move only slightly. When endangered, it may stick out its stinger and poison the enemy."
015,Beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail. It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
016,Pidgey,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand. Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
017,Pidgeotto,Very protective of its sprawling territorial area. This Pokemon will fiercely peck at any intruder. This Pokemon is full of vitality. It constantly flies around its large territory in search of prey.
018,Pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp. This Pokemon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
019,Rattata,"Bites anything when it attacks. Small and very quick; it's a common sight in many places. Will chew on anything with its fangs. If you see one, it's certain that 40 more live in that area."
020,Raticate,"It uses its whiskers to maintain its balance. It apparently slows down if they are cut off. Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
