,Number,NAME,pokedex,SCORE,SCORENOMISS,SCOREwithWeights,SCOREwithWeightsNoMiss,Positives,Negatives,Other,Std Dev
41,42,GOLBAT,once strikes stop draining energy victim even gets heavy fly attacks stealthy manner without warning sharp fangs used bite suck blood,-0.504761905,-0.588888889,-0.467134865,-0.559742942,5,13,3,1.303393259
28,29,NIDORAN_F,although small venomous barbs render pokemon dangerous female smaller horns mildmannered pokemon fight beware small horns secrete venom,-0.307777778,-0.503636364,-0.26780807,-0.476985535,2,9,7,1.182567315
88,89,MUK,thickly covered filthy vile sludge toxic even footprints contain poison smells awful cause fainting through degeneration lost sense smell,-0.327368421,-0.518333333,-0.257160778,-0.428087518,6,6,7,1.499586812
92,93,HAUNTER,ability slip through block walls another dimension licking saps victims life causes shaking wont stop until victims demise,-0.372777778,-0.419375,-0.321444579,-0.366372441,6,10,2,1.426961661
109,110,WEEZING,two kinds poison gases meet 2 koffings fuse weezing over many years lives grows absorbing dust germs poison gases contained toxic waste garbage,-0.226086957,-0.346666667,-0.228911081,-0.365940755,9,6,8,1.572848493
32,33,NIDORINO,aggressive pokemon quick attack horn head secretes powerful venom horns contain venom stabbed enemy impact makes poison leak out,-0.232631579,-0.34,-0.230202733,-0.353402324,6,7,6,1.550634279
141,142,AERODACTYL,ferocious prehistoric pokemon goes enemys throat serrated sawlike fangs savage pokemon died out ancient times resurrected using dna taken amber,-0.1805,-0.328181818,-0.162975385,-0.313151272,5,4,11,1.389104428
127,128,TAUROS,targets enemy charges furiously whipping body long tails rowdy pokemon lot stamina once running wont stop until hits something,-0.228947368,-0.310714286,-0.208765684,-0.293743839,3,10,6,0.910628129
78,79,SLOWPOKE,incredibly slow dopey takes 5 seconds feel pain under attack incredibly slow sluggish quite content loll without worrying time,-0.191578947,-0.26,-0.195610542,-0.273612531,8,6,5,1.428221056
69,70,WEEPINBELL,spits out poisonpowder immobilize enemy finishes spray acid hungry swallows anything moves hapless prey melted inside strong acids,-0.190555556,-0.311818182,-0.139909976,-0.24172218,5,6,7,1.240377509
13,14,KAKUNA,incapable moving pokemon harden shell protect itself predators move slightly endangered stick out stinger poison enemy,-0.131875,-0.211,-0.139349766,-0.228747271,6,4,6,1.458297714
126,127,PINSIR,fails crush victim pincers swing around toss hard grips prey pincers squeezes hard cant move cold lives warm places,-0.169473684,-0.214666667,-0.159014697,-0.208505753,8,7,4,1.428235008
56,57,PRIMEAPE,always furious tenacious boot abandon chasing quarry until caught stops being angry nobody around view moment very difficult,-0.146666667,-0.188571429,-0.153747381,-0.201564564,6,7,5,1.28210364
134,135,JOLTEON,accumulates negative ions atmosphere blast out 10000volt lightning bolts sensitive pokemon easily becomes sad angry time mood changes charges power,-0.1205,-0.150625,-0.125313203,-0.161960087,9,7,4,1.480024634
14,15,BEEDRILL,flies high speed attacks using large venomous stingers forelegs tail 3 poisonous stingers forelegs tail used jab enemy repeatedly,-0.089473684,-0.154545455,-0.074490395,-0.13693438,5,5,9,1.497375482
104,105,MAROWAK,bone holds key weapon throws bone skillfully boomerang ko targets small weak pokemon adept bone club grown more vicious over ages,-0.13047619,-0.161176471,-0.087206839,-0.110162361,8,9,4,0.99268501
4,5,CHARMELEON,swings burning tail elevates temperature unbearably high levels tough fights excite pokemon excited blow out bluishwhite flames,-0.075882353,-0.117272727,-0.056102277,-0.091952021,4,7,6,1.417604253
27,28,SANDSLASH,curls up spiny ball threatened roll curled up attack escape skilled slashing enemies claws broken start grow back day,-0.033684211,-0.049230769,-0.021388778,-0.033076522,9,4,6,1.657721637
48,49,VENOMOTH,dustlike scales covering wings color coded indicate kinds poison powdery scales wings hard remove contain poison leaks out contact,0.015789474,0.02,0.012605023,0.016209355,10,5,4,1.529014622
17,18,PIDGEOT,hunting skims surface water high speed pick unwary prey such magikarp pokemon flies mach 2 speed seeking prey large talons feared wicked weapons,-0.063478261,-0.09125,0.014599224,0.022166172,9,7,7,1.35282359
108,109,KOFFING,stores several kinds toxic gases body prone exploding without warning hot places internal gases expand explode without warning very careful,-0.004,-0.005333333,0.019442697,0.026730179,10,5,5,1.103150467
119,120,STARYU,enigmatic pokemon effortlessly regenerate appendage loses battle long center section unharmed grow back fully even chopped bits,-0.007058824,-0.012,0.022162452,0.03897539,7,3,7,1.249647061
89,90,SHELLDER,hard shell repels kind attack vulnerable shell open shell withstand attack open tender body exposed,0.034666667,0.04,0.047064892,0.055585325,8,5,2,1.569447886
105,106,HITMONLEE,hurry legs lengthen progressively runs smoothly extra long loping strides kicking sole foot turns hard diamond impact destroys enemy,0.041578947,0.060769231,0.036861311,0.05670804,7,6,6,1.261602562
103,104,CUBONE,never removes skull helmet one seen pokemons real face wears skull deceased mother cries echo inside skull come out sad melody,0.056666667,0.07,0.076919102,0.097494823,10,7,4,1.509171958
97,98,KRABBY,pincers powerful weapons used balance walking sideways pincers superb weapons sometimes break during battle grow back fast,0.037647059,0.049230769,0.079215633,0.108042814,9,4,4,1.578197609
138,139,OMASTAR,prehistoric pokemon died out heavy shell made impossible catch prey sharp beaks ring mouth shell big move freely became extinct,0.107,0.13375,0.097578867,0.125791331,10,6,4,1.398293603
106,107,HITMONCHAN,apparently doing nothing fires punches lightning fast volleys impossible see punches corkscrew fashion punch way through concrete wall same way drill,0.084761905,0.11125,0.098174124,0.133275291,11,5,5,0.986710866
74,75,GRAVELER,rolls down slopes move rolls over obstacle without slowing changing direction seen rolling down mountain trails obstacles things roll straight over avoid,0.081818182,0.105882353,0.103077954,0.137243685,11,6,5,0.996262132
72,73,TENTACRUEL,tentacles normally kept short hunts extended ensnare immobilize prey 80 tentacles stretch contract freely wrap around prey weaken poison,0.071578947,0.113333333,0.083620878,0.138247121,8,4,7,1.287826452
131,132,DITTO,capable copying enemys genetic code instantly transform itself duplicate enemy spots enemy body transforms perfect copy opponent,0.1,0.141666667,0.094667402,0.13850611,8,4,5,1.488708002
75,76,GOLEM,boulderlike body extremely hard easily withstand dynamite blasts without damage once sheds skin body turns tender whitish hide hardens exposed air,0.111904762,0.156666667,0.095648027,0.140544221,9,6,6,1.240124802
129,130,GYARADOS,rarely seen wild huge vicious capable destroying entire cities rage brutally vicious enormously destructive known totally destroying cities ancient times,0.088,0.117333333,0.115890461,0.162487349,11,4,5,1.273148329
43,44,GLOOM,fluid oozes mouth isnt drool nectar used attract prey smells incredibly foul around 1 out 1000 people enjoy sniffing nosebending stink,0.101904762,0.152857143,0.105788819,0.166321926,7,7,7,1.415683736
40,41,ZUBAT,forms colonies perpetually dark places uses ultrasonic waves identify approach targets emits ultrasonic cries flies act sonar used check objects way,0.101904762,0.13375,0.121718116,0.166362545,10,6,5,1.008066631
110,111,RHYHORN,massive bones 1000 times harder human bones easily knock trailer flying pokemon onetrack mind once charges wont stop running until falls asleep,0.177272727,0.205263158,0.155062473,0.18366534,11,8,3,0.929273123
8,9,BLASTOISE,brutal pokemon pressurized water jets shell used high speed tackles once takes aim enemy blasts out water even more force fire hose,0.111363636,0.144117647,0.15709403,0.209884773,10,7,5,1.302646627
50,51,DUGTRIO,team diglett triplets triggers huge earthquakes burrowing 60 miles underground team triplets burrow over 60 mph due people think earthquake,0.132,0.24,0.106857781,0.210380556,8,3,9,1.306292463
10,11,METAPOD,pokemon vulnerable attack shell soft exposing weak tender body hardens shell protect itself large impact cause pop out shell,0.177894737,0.21125,0.177288156,0.214405489,11,5,3,1.310622626
90,91,CLOYSTER,attacked launches horns quick volleys innards never seen protection uses harderthandiamonds shell shoots spikes shell,0.133333333,0.2,0.141161155,0.22353762,7,3,5,1.293118539
55,56,MANKEY,extremely quick anger docile one moment thrashing away next instant agile pokemon lives trees angers easily hesitate attack anything,0.175263158,0.237857143,0.165511717,0.233371477,10,4,5,1.454965919
5,6,CHARIZARD,spits fire hot enough melt boulders known cause forest fires unintentionally expelling blast super hot fire red flame tip tail burns more intensely,0.166956522,0.213333333,0.184440133,0.246450535,12,6,5,1.166659384
31,32,NIDORAN_M,stiffens ears sense danger larger horns more powerful secreted venom large ears always kept upright senses danger attack poisonous sting,0.137,0.182666667,0.184691,0.256601913,10,5,5,1.526056855
137,138,OMANYTE,although long extinct rare cases genetically resurrected fossils ancient pokemon recovered fossil swims cleverly twisting 10 tentacles,0.114117647,0.277142857,0.097889608,0.260917097,3,4,10,0.820603727
87,88,GRIMER,appears filthy areas thrives sucking up polluted sludge pumped out factories made hardened sludge smells putrid touch even weeds wont grow path,0.148181818,0.232857143,0.164516944,0.27060864,9,5,8,1.095181254
121,122,MR. MIME,interrupted miming slap around offender broad hands always practices pantomime act makes enemies believe something exists really doesnt,0.2,0.257142857,0.207415874,0.27447108,10,3,5,1.419174552
